year,month,day,47N,46N,45N,44N,43N,42N,41N,40N,39N,38N,37N,36N,35N,34N,33N,32N,31N
1988,1,1,-0.16,1.009,1.258,-0.305,-0.425,-1.376,1.512,3.032,-2.078,-4.71,-3.334,0.09,-2.513,-2.615,-0.364,0.401,-1.702
1988,1,2,-0.597,0.205,0.106,-3.144,-7.652,-8.47,-11.014,-10.985,-9.412,-10.523,-7.536,-2.162,-2.704,-2.863,0.261,0.131,-1.202
1988,1,3,-7.338,-5.659,-8.082,-3.691,-7.587,-22.571,-11.595,-24.724,-22.273,-19.285,-14.804,-8.665,-7.288,-2.914,0.06,0.124,-1.064
1988,1,4,-6.76,1.09,0.077,1.464,7.628,-2.614,2.573,-0.63,-2.594,-4.892,-6.809,-5.435,-5.68,-1.336,-0.024,0.634,-0.305
1988,1,5,-4.905,1.673,-1.923,-0.698,3.934,-7.129,1.482,2.553,4.255,2.906,1.264,5.047,0.719,1.509,0.126,-0.891,-0.542
1988,1,6,-0.552,2.818,0.977,0.127,5.558,-0.175,4.813,7.241,9.007,1.191,-0.074,4.646,-1.455,1.169,0.068,1.412,1.291
1988,1,7,-4.538,0.08,-1.307,0.392,3.615,-2.263,-1.265,3.254,1.706,-1.39,-1.456,2.918,0.09,0.536,0.88,1.124,2.455
1988,1,8,-2.842,1.366,-0.598,-0.81,-0.644,-1.797,-1.727,1.342,3.073,1.352,0.647,6.444,2.08,1.704,1.601,1.792,3.226
1988,1,9,-6.88,-1.442,-4.333,-3.938,-5.335,-5.281,-6.285,-1.939,0.553,-2.468,-0.207,2.476,1.179,1.427,0.679,1.59,2.162
1988,1,10,-0.532,1.332,0.266,0.572,1.67,-11.695,-10.065,-3.96,-4.645,-2.959,-0.514,3.685,1.642,0.523,0.473,1.123,0.163
1988,1,11,7.462,7.639,10.378,7.878,17.509,11.513,3.483,9.096,9.217,5.682,5.528,11.291,7.146,3.38,1.849,2.043,2.045
1988,1,12,-23.037,-14.383,-17.303,-11.719,-22.683,-16.959,-8.339,-2.467,0.559,1.735,4.696,10.626,5.312,2.761,1.381,1.074,2.56
1988,1,13,-22.935,-3.514,-6.514,-0.119,-8.938,-11.579,-10.219,-10.976,-7.656,-3.857,-0.795,1.74,0.591,0.292,0.325,-0.395,1.39
1988,1,14,-36.342,-12.88,-22.856,-13.269,-34.538,-35.62,-22.089,-18.736,-13.172,-5.025,-0.258,0.025,0.363,-1.125,1.347,0.219,0.505
1988,1,15,-11.255,2.334,-4.437,0.096,-6.9,-6.567,-2.235,1.245,2.333,0.86,0.917,2.134,1.626,1.557,1.562,0.039,1.053
1988,1,16,0.14,8.85,4.529,3.07,4.859,5.298,5.653,6.089,5.558,2.937,1.043,3.147,1.148,1.744,0.897,0.448,0.807
1988,1,17,-1.891,2.676,3.54,2.448,6.08,5.76,8.371,16.452,19.679,10.604,9.645,20.682,25.309,17.347,-0.175,-2.348,0.892
1988,1,18,1.858,4.274,6.129,2.229,8.931,10.255,4.458,14.109,24.186,22.774,27.035,54.095,43.224,27.533,17.965,14.631,19.761
1988,1,19,-5.871,-2.158,-0.35,-2.403,-1.173,1.182,-0.802,9.836,19.364,6.513,7.65,19.686,10.657,5.276,1.208,-0.354,-2.401
1988,1,20,-3.033,3.889,2.616,-1.097,1.157,4.787,-3.606,4.115,-1.786,-7.36,1.162,1.591,-0.27,-10.347,-4.475,-0.828,-9.425
1988,1,21,0.666,1.897,6.018,0.943,2.168,6.38,-7.953,6.356,8.227,7.019,7.084,3.861,11.978,-2.529,1.916,-0.817,-7.512
1988,1,22,2.6,1.539,1.778,-3.578,-6.469,1.03,5.695,11.496,7.564,-0.18,3.46,-4.559,-3.651,-3.464,-2.039,-0.406,-4.283
1988,1,23,-2.065,-4.27,-1.631,1.88,5.64,9.093,4.248,8.234,-3.746,-1.379,3.687,-2.035,-2.252,0.156,0.029,1.166,-0.551
1988,1,24,-4.055,0.955,0.65,-0.166,0.386,2.663,1.815,-0.227,-1.867,2.961,0.437,-4.029,-2.179,0.133,0.154,-0.441,-0.874
1988,1,25,-2.95,0.758,1.437,1.348,3.968,3.287,3.796,7.812,6.086,-1.098,1.739,-0.29,0.081,0.882,-2.9,-0.34,-1.788
1988,1,26,-2.469,2.017,6.715,2.539,3.422,-1.018,-0.203,5.152,-1.116,0.514,0.13,-0.626,0.16,-0.66,-2.703,-1.129,-0.471
1988,1,27,-9.648,-1.652,-2.452,-8,-15.927,-12.104,-5.477,-3.009,-1.109,-1.79,-2.813,0.256,1.132,-1.037,-1.514,0.215,-0.908
1988,1,28,-9.982,-3.773,-10.173,-9.403,-15.624,-11.163,-11.655,-3.217,-4.821,-3.153,-1.825,0.857,1.364,-0.546,-1.76,0.577,-0.553
1988,1,29,4.384,8.585,5.686,4.988,8.323,5.32,-1.251,3.515,-2.557,1.812,-1.596,3.257,-2.282,-1.421,-0.082,0.649,0.022
1988,1,30,4.145,2.543,5.851,0.673,3.889,4.615,1.937,10.305,12.614,7.779,6.516,10.296,5.467,3.638,1.141,3.758,3.11
1988,1,31,2.144,6.454,10.259,4.039,10,10.514,4.188,9.601,11.822,5.444,6.413,12.323,6.235,3.024,1.137,2.447,1.568
1988,2,1,4.474,3.033,8.001,3.278,8.11,10.35,6.054,10.839,10.698,4.09,1.948,4.755,0.807,-1.509,-0.182,0.069,0.362
1988,2,2,2.26,1.274,5.406,2.371,6.664,12.256,7.019,9.906,10.428,3.32,3.802,6.189,4.076,-1.083,1.395,2.143,-4.251
1988,2,3,1.253,1.401,1.734,-1.816,1.598,8.35,-0.466,3.917,7.858,0.879,1.413,3.811,0.983,0.226,1.904,0.901,-0.643
1988,2,4,-1.054,0.674,0.627,-0.239,1.332,4.164,1.444,2.076,2.645,-2.125,0.356,0.306,-3.58,-1.936,0.123,0.861,-0.627
1988,2,5,-6.05,-3.77,-2.361,-0.263,-3.047,0.112,-2.326,2.269,2.304,1.123,0.499,0.246,-2.686,-1.308,0.976,1.073,-0.168
1988,2,6,-10.045,-0.779,-3.655,-2.313,0.618,1.006,-1.41,4.316,9.016,6.24,7.102,6.087,4.456,1.468,0.576,0.776,1.166
1988,2,7,-7.056,0.139,-1.045,1.085,2.105,4.82,0.018,9.467,16.26,12.878,9.348,7.558,5.608,2.107,0.612,0.039,0.756
1988,2,8,-10.519,-4.314,-4.69,-1.517,-1.362,1.846,1.266,9.41,15.12,11.156,9.252,11.477,7.952,3.112,0.166,-0.048,0.789
1988,2,9,-2.425,1.62,-0.928,-0.095,0.138,4.239,0.846,8.712,17.448,13.16,11.268,15.073,8.64,3.032,-0.148,-0.286,0.515
1988,2,10,-1.769,1.587,1.935,0.184,-0.538,8.593,4.797,14.735,22.984,10.469,5.414,9.698,3.741,2.37,-0.283,-0.346,0.048
1988,2,11,1.402,5.299,9.111,5.891,11.098,17.523,7.733,11.243,8.581,-0.874,-3.108,0.623,-3.994,-1.634,-0.233,0.643,0.11
1988,2,12,-0.644,0.129,-1.986,-0.802,2.507,9.616,3.233,5.229,2.388,-1.061,-4.251,0.886,-4.042,-0.588,0.507,0.478,-0.319
1988,2,13,5.987,1.141,3.283,0.031,5.624,14.994,15.391,19.542,23.324,17.043,12.226,13.079,3.994,3.042,0.377,0.305,0.54
1988,2,14,-14.492,-4.218,-1.47,2.415,6.292,12.731,12.848,22.207,17.226,11.036,7.574,8.644,-0.99,2.432,0.708,1.173,0.651
