x,y,p-value,rank,Q,m,critical value,diff,significant?
LUMI,end,0.1048,1,0.1,15,0.006666667,0.098133333,no
LUMI,peak,0.1156,2,0.1,15,0.013333333,0.102266667,no
TUMI,end,0.153,3,0.1,15,0.02,0.133,no
STI,end,0.2014,4,0.1,15,0.026666667,0.174733333,no
TUMI,start,0.2112,5,0.1,15,0.033333333,0.177866667,no
TUMI,peak,0.2237,6,0.1,15,0.04,0.1837,no
END,peak,0.3858,7,0.1,15,0.046666667,0.339133333,no
STI,peak,0.4119,8,0.1,15,0.053333333,0.358566667,no
MAX,start,0.4324,9,0.1,15,0.06,0.3724,no
MAX,peak,0.504,10,0.1,15,0.066666667,0.437333333,no
MAX,end,0.5174,11,0.1,15,0.073333333,0.444066667,no
END,end,0.6844,12,0.1,15,0.08,0.6044,no
STI,start,0.7889,13,0.1,15,0.086666667,0.702233333,no
END,start,0.9138,14,0.1,15,0.093333333,0.820466667,no
LUMI,start,0.9368,15,0.1,15,0.1,0.8368,no
