"n","dd","d","all","ratio","date","pv1","pv2","ratio_rm","all_rm","n_rm","d_rm"
1.1481,1.1261,1.0452,1.0897,2.2586,2015-09-05,0.021375292807775,0.978624707192225,1.65663333333333,1.06306666666667,1.08908,1.04056
1.052,1.0625,1.0327,1.043,1.278,2015-09-06,0.010771638510112,0.989228361489888,1.66676666666667,1.06429333333333,1.09088,1.04129333333333
1.0892,1.1062,1.0235,1.0561,2.0911,2015-09-07,0.00400450846944938,0.995995491530551,1.62433133333333,1.06837333333333,1.09353333333333,1.04672666666667
1.0523,1.0696,1.0458,1.0505,1.0785,2015-09-08,0.00315146996949666,0.996848530030503,1.569178,1.07038666666667,1.09378666666667,1.0498
1.1157,1.1231,1.0521,1.0828,1.7166,2015-09-09,0.00180621960456919,0.998193780395431,1.51089133333333,1.07259333333333,1.09452,1.05313333333333
1.0795,1.0918,1.0426,1.0612,1.4664,2015-09-10,0.000860801517086266,0.999139198482914,1.470598,1.07669333333333,1.09726666666667,1.05812
1.1441,1.1318,1.0844,1.1109,1.4937,2015-09-11,0.000844608582434078,0.999155391417566,1.449258,1.08002666666667,1.09964666666667,1.06214
1.1098,1.0386,1.0751,1.0853,1.3107,2015-09-12,0.000412664729318899,0.999587335270681,1.37339133333333,1.08049333333333,1.09652666666667,1.06526
1.0813,1.0844,1.0391,1.06,1.5571,2015-09-13,0.000227385370241715,0.999772614629758,1.281956,1.08066,1.09205333333333,1.06864666666667
1.0998,1.1037,1.1054,1.1029,0.96027,2015-09-14,0.000210935829189468,0.99978906417081,1.27680933333333,1.08584,1.09744,1.07343333333333
1.0814,1.1196,1.0678,1.0777,1.1302,2015-09-15,0.000238827678252546,0.999761172321747,1.222176,1.08923333333333,1.09972,1.07781333333333
1.0891,1.1041,1.0689,1.0801,1.1917,2015-09-16,0.000314068579021606,0.999685931420978,1.23334266666667,1.09508,1.10664,1.08263333333333
1.0976,1.1289,1.0956,1.0991,1.0157,2015-09-17,0.000373636596592263,0.999626363403408,1.224076,1.09809333333333,1.11014,1.08537333333333
1.1132,1.1511,1.1077,1.1136,1.0382,2015-09-18,0.000689092310530423,0.99931090768947,1.19432933333333,1.10156,1.11225333333333,1.08975333333333
1.0948,1.1016,1.093,1.0945,1.0141,2015-09-19,0.001057743065602,0.998942256934398,1.15293066666667,1.10108,1.10904666666667,1.09182
1.081,1.1271,1.096,1.0922,0.88707,2015-09-20,0.000356945878696207,0.999643054121304,1.12978733333333,1.10060666666667,1.10653333333333,1.09189333333333
1.1328,1.1578,1.1045,1.1207,1.2008,2015-09-21,0.000423121158603895,0.999576878841396,1.10374733333333,1.10324,1.10836,1.09515333333333
1.1234,1.1343,1.0892,1.107,1.2716,2015-09-22,0.000267421564663425,0.999732578435337,1.11758266666667,1.10477333333333,1.11091333333333,1.09566
1.1561,1.1717,1.1181,1.1382,1.246,2015-09-23,3.68087980530386e-05,0.999963191201947,1.11326266666667,1.10424666666667,1.11034,1.09554666666667
1.1682,1.1443,1.0932,1.128,1.5776,2015-09-24,1.50030154637353e-05,0.999984996984536,1.14000266666667,1.10573333333333,1.11322,1.09558
