"n","dd","d","all","ratio","date","pv1","pv2","ratio_rm","all_rm","n_rm","d_rm"
NA,NA,NA,NA,NA,2015-07-20,NA,NA,NA,1.01235,1.01685,1.0082
NA,NA,NA,NA,NA,2015-07-27,NA,NA,NA,1.01041888888889,1.00788111111111,1.01123333333333
NA,NA,NA,NA,NA,2015-07-28,NA,NA,NA,1.01041888888889,1.00788111111111,1.01106
1.0155,1.0131,1.0037,1.0085,1.2924,2015-07-29,NA,NA,1.04784,1.011477,1.011333,1.0104
1.0182,1.0317,1.0127,1.0162,1.1122,2015-07-30,NA,NA,1.07231818181818,1.01427,1.01518454545455,1.01219166666667
0.99165,1.0111,1.0072,1.0023,0.64536,2015-07-31,NA,NA,1.11641666666667,1.0164725,1.01886916666667,1.01304615384615
1.001,0.9795,1.02,1.0096,0.6648,2015-08-01,NA,NA,1.15692307692308,1.01790538461538,1.02144846153846,1.01337142857143
0.97668,1.0101,1.0106,0.99887,0.28187,2015-08-02,NA,NA,1.17092142857143,1.01926214285714,1.02338785714286,1.01424
1.0058,1.0022,1.0123,1.0093,0.8669,2015-08-03,NA,NA,1.17092142857143,1.01926214285714,1.02338785714286,1.01424
1.0189,1.0186,1.0016,1.0086,1.4545,2015-08-04,NA,NA,1.19723333333333,1.022358,1.02766866666667,1.01601875
1.0162,1.0283,1.019,1.0189,0.94847,2015-08-05,NA,NA,1.19723333333333,1.022358,1.02766866666667,1.01601875
1.027,1.0477,1.014,1.0215,1.2565,2015-08-06,NA,NA,1.19723333333333,1.022358,1.02766866666667,1.01601875
NA,NA,1.0095,NA,NA,2015-08-07,NA,NA,1.19723333333333,1.022358,1.02766866666667,1.01601875
1.0424,1.0529,1.0038,1.021,1.9554,2015-08-08,NA,NA,1.19866666666667,1.02301133333333,1.02833533333333,1.01645625
1.0537,1.0638,1.0319,1.0422,1.3171,2015-08-09,NA,NA,1.20484285714286,1.02349785714286,1.02905928571429,1.01670666666667
1.0594,1.0783,1.0233,1.0407,1.6015,2015-08-10,NA,NA,1.19594214285714,1.02374071428571,1.02891714285714,1.01714666666667
1.0524,1.0806,1.0176,1.0351,1.643,2015-08-11,NA,NA,1.238335,1.02496928571429,1.03118142857143,1.01704666666667
1.0486,1.0565,1.0264,1.0369,1.3529,2015-08-12,NA,NA,1.30926571428571,1.02702142857143,1.03529,1.0176
NA,NA,NA,NA,NA,2015-08-13,NA,NA,1.290425,1.02667142857143,1.03417785714286,1.01730666666667
1.0876,1.1272,1.0427,1.0657,1.5656,2015-08-14,NA,NA,1.30636071428571,1.02815,1.03641357142857,1.01820666666667
NA,NA,NA,NA,NA,2015-08-15,NA,NA,1.29836571428571,1.02932142857143,1.03716357142857,1.01954666666667
NA,NA,NA,NA,NA,2015-08-16,NA,NA,1.30500142857143,1.02995,1.038085,1.01995333333333
NA,NA,NA,NA,NA,2015-08-17,NA,NA,1.323948,1.03014,1.03867266666667,1.02038
1.0255,1.0339,1.0107,1.0183,1.3139,2015-08-18,NA,NA,1.30165466666667,1.03178,1.04027266666667,1.02192
NA,NA,NA,NA,NA,2015-08-19,NA,NA,1.30752133333333,1.03174,1.04031266666667,1.02166666666667
0.98966,1.0241,1.0138,1.0057,0.52075,2015-08-20,NA,NA,1.307208,1.03180666666667,1.04035266666667,1.02170666666667
1.0327,1.0397,1.0185,1.0268,1.2583,2015-08-21,NA,NA,1.32817466666667,1.03263333333333,1.04203266666667,1.02198
1.0342,1.0544,1.0189,1.0276,1.2749,2015-08-22,NA,NA,1.37571466666667,1.03330666666667,1.04399933333333,1.02148
0.99023,1.0453,1.0079,1.0044,0.60313,2015-08-23,NA,NA,1.39098875,1.033575,1.044774375,1.0214375
1.0502,1.0335,1.0151,1.0293,1.6776,2015-08-24,NA,NA,1.3780325,1.03344375,1.044143125,1.02173125
1.0267,1.0472,1.0391,1.0353,0.83654,2015-08-25,NA,NA,1.42356588235294,1.03662352941176,1.04987588235294,1.02317058823529
1.0399,1.0514,1.0201,1.0303,1.3494,2015-08-26,NA,NA,1.46995666666667,1.03957222222222,1.05533277777778,1.02439444444444
1.0469,1.0729,1.0159,1.0328,1.5892,2015-08-27,0.98328029009204,0.0167197099079602,1.45985368421053,1.03975263157895,1.05515736842105,1.02483157894737
1.0664,1.0731,1.0269,1.0456,1.621,2015-08-28,0.965406157587939,0.034593842412061,1.50075894736842,1.04174210526316,1.05851,1.02550526315789
1.0543,1.0666,1.0281,1.0416,1.4051,2015-08-29,0.946615244521627,0.0533847554783727,1.479646,1.04218,1.0581995,1.02652
1.06,1.0674,1.0239,1.0417,1.5968,2015-08-30,0.917538529192421,0.0824614708075789,1.5394385,1.046035,1.0645015,1.028435
1.0776,1.0809,1.0217,1.0475,1.9575,2015-08-31,0.794634877342028,0.205365122657972,1.5498435,1.047755,1.0668415,1.02964
1.0781,1.0834,1.0189,1.047,2.066,2015-09-01,0.583570025217168,0.416429974782832,1.5607835,1.05192,1.0723365,1.032915
1.0564,1.055,1.0208,1.0376,1.6201,2015-09-02,0.285882879608243,0.714117120391757,1.596162,1.055965,1.078315,1.036275
1.0775,1.1058,1.0474,1.0636,1.3583,2015-09-03,0.189822112809726,0.810177887190274,1.590137,1.0575,1.07987,1.037475
1.1416,1.1205,1.0462,1.0875,2.1521,2015-09-04,0.127476150992563,0.872523849007437,1.5963235,1.06088,1.083525,1.04079
1.1481,1.1261,1.0452,1.0897,2.2586,2015-09-05,0.021375292807775,0.978624707192225,1.5853635,1.06325,1.0856,1.043175
1.052,1.0625,1.0327,1.043,1.278,2015-09-06,0.010771638510112,0.989228361489888,1.5654885,1.065615,1.08771,1.045825
1.0892,1.1062,1.0235,1.0561,2.0911,2015-09-07,0.00400450846944938,0.995995491530551,1.5352235,1.06829,1.08927,1.04926
1.0523,1.0696,1.0458,1.0505,1.0785,2015-09-08,0.00315146996949666,0.996848530030503,1.5168785,1.07189,1.092215,1.05324
1.1157,1.1231,1.0521,1.0828,1.7166,2015-09-09,0.00180621960456919,0.998193780395431,1.4877435,1.07453,1.093955,1.056695
1.0795,1.0918,1.0426,1.0612,1.4664,2015-09-10,0.000860801517086266,0.999139198482914,1.434222,1.076765,1.094125,1.06041
1.1441,1.1318,1.0844,1.1109,1.4937,2015-09-11,0.000844608582434078,0.999155391417566,1.390962,1.08045,1.09686,1.06469
1.1098,1.0386,1.0751,1.0853,1.3107,2015-09-12,0.000412664729318899,0.999587335270681,1.373537,1.08392,1.10021,1.06811
1.0813,1.0844,1.0391,1.06,1.5571,2015-09-13,0.000227385370241715,0.999772614629758,1.367922,1.08765,1.10414,1.071645
1.0998,1.1037,1.1054,1.1029,0.96027,2015-09-14,0.000210935829189468,0.99978906417081,1.339197,1.089675,1.10547,1.073995
1.0814,1.1196,1.0678,1.0777,1.1302,2015-09-15,0.000238827678252546,0.999761172321747,1.277277,1.09085,1.103625,1.07715
1.0891,1.1041,1.0689,1.0801,1.1917,2015-09-16,0.000314068579021606,0.999685931420978,1.257013,1.093885,1.105825,1.081285
1.0976,1.1289,1.0956,1.0991,1.0157,2015-09-17,0.000373636596592263,0.999626363403408,1.2006355,1.09499,1.10497,1.08392
1.1132,1.1511,1.1077,1.1136,1.0382,2015-09-18,0.000689092310530423,0.99931090768947,1.2050355,1.09744,1.10779,1.08603
1.0948,1.1016,1.093,1.0945,1.0141,2015-09-19,0.001057743065602,0.998942256934398,1.1775955,1.099595,1.10891,1.089075
1.081,1.1271,1.096,1.0922,0.88707,2015-09-20,0.000356945878696207,0.999643054121304,1.1575455,1.100025,1.108575,1.09025
1.1328,1.1578,1.1045,1.1207,1.2008,2015-09-21,0.000423121158603895,0.999576878841396,1.1625005,1.0996,1.107985,1.0895
1.1234,1.1343,1.0892,1.107,1.2716,2015-09-22,0.000267421564663425,0.999732578435337,1.1645555,1.10054,1.10878,1.08992
1.1561,1.1717,1.1181,1.1382,1.246,2015-09-23,3.68087980530386e-05,0.999963191201947,1.1542755,1.10282,1.111105,1.092215
1.1682,1.1443,1.0932,1.128,1.5776,2015-09-24,1.50030154637353e-05,0.999984996984536,1.173732,1.10131,1.1104,1.08965
1.1112,1.153,1.1083,1.1132,1.0202,2015-09-25,8.93433636148405e-06,0.999991065663638,1.174687,1.10103,1.110205,1.089395
1.096,1.0756,1.1154,1.1037,0.87272,2015-09-26,5.65810870319979e-05,0.999943418912968,1.178927,1.101505,1.11081,1.089515
1.0721,1.1235,1.0762,1.0782,0.96355,2015-09-27,0.000228769520658538,0.999771230479341,1.186517,1.10033,1.11005,1.088
1.1087,1.1192,1.088,1.0995,1.1665,2015-09-28,0.00046697694611593,0.999533023053884,1.1741495,1.099525,1.10845,1.088235
1.1381,1.14,1.113,1.1259,1.1678,2015-09-29,0.000401565176303361,0.999598434823697,1.1591185,1.09957,1.1073,1.089355
1.0728,1.075,1.0661,1.0698,1.0654,2015-09-30,0.000798801791534143,0.999201198208466,1.150274,1.099045,1.1063,1.0896
1.1323,1.1467,1.0694,1.1024,1.5928,2015-10-01,0.000986512206213765,0.999013487793786,1.156414,1.096745,1.10395,1.08717
1.1257,1.1155,1.0835,1.1041,1.3518,2015-10-02,0.000589053441148474,0.999410946558852,1.12484,1.094195,1.09959,1.086565
1.1278,1.1136,1.085,1.1056,1.3515,2015-10-03,0.00060583330854753,0.999394166691453,1.12355,1.09102,1.09588,1.083685
1.0857,1.1208,1.0541,1.0727,1.3494,2015-10-04,0.000340824416311859,0.999659175583688,1.0875435,1.08846,1.090915,1.083345
1.0775,1.09,1.0627,1.0721,1.1493,2015-10-05,0.000315482704527087,0.999684517295473,1.074162,1.087535,1.088985,1.083355
1.1012,1.1357,1.0713,1.0896,1.2765,2015-10-06,0.000357554363714598,0.999642445636285,1.097296,1.087045,1.08962,1.081195
1.0824,1.0997,1.0653,1.0756,1.1675,2015-10-07,0.000213292214293284,0.999786707785707,1.10433526315789,1.08751052631579,1.08939,1.08145789473684
1.0812,1.1026,1.1124,1.0975,0.79085,2015-10-08,0.000394097865862052,0.999605902134138,1.10088166666667,1.08684444444444,1.08837368421053,1.08109444444444
1.0718,1.115,1.1154,1.0954,0.71348,2015-10-09,0.00115101063485223,0.998848989365148,1.09694529411765,1.08454705882353,1.08561111111111,1.07992777777778
1.061,1.0843,1.1009,1.0817,0.71018,2015-10-10,0.00738906436865436,0.992610935631346,1.07998411764706,1.08477647058824,1.08485555555556,1.08107222222222
1.0858,1.1239,1.0559,1.0747,1.3236,2015-10-11,0.00835037170125802,0.991649628298742,1.03157411764706,1.08472941176471,1.08217222222222,1.08388888888889
1.0362,1.0509,1.0771,1.056,0.64012,2015-10-12,0.0254125794889643,0.974587420511036,0.997461176470588,1.08415882352941,1.07940555555556,1.08531111111111
1.0819,1.1201,1.0605,1.0747,1.2202,2015-10-13,0.0459884098759211,0.954011590124079,0.962001176470588,1.08389411764706,1.07672777777778,1.08717777777778
1.0689,1.0683,1.0864,1.0768,0.85747,2015-10-14,0.0443188934609664,0.955681106539034,0.926928235294118,1.08379411764706,1.07505555555556,1.08894444444444
1.0726,1.1453,1.1085,1.0947,0.75257,2015-10-15,0.0687289410045577,0.931271058995442,0.945234117647059,1.08377058823529,1.07564444444444,1.08816666666667
1.1087,1.1403,1.0722,1.0939,1.3354,2015-10-16,0.068042367230245,0.931957632769755,0.961016470588235,1.08240588235294,1.07501666666667,1.08672222222222
1.0675,1.0599,NA,NA,NA,2015-10-17,0.061157104738593,0.938842895261407,0.961669411764706,1.08154117647059,1.07419444444444,1.08597222222222
NA,NA,NA,NA,NA,2015-10-18,0.0766184093397364,0.923381590660264,0.977495882352941,1.07854705882353,1.07241111111111,1.08218888888889
NA,NA,1.092,NA,NA,2015-10-19,0.0749866747654893,0.925013325234511,0.978564117647059,1.07516470588235,1.07002222222222,1.07870555555556
1.0592,1.0836,1.0867,1.0737,0.77706,2015-10-20,0.0945114935461977,0.905488506453802,1.00943,1.07513529411765,1.07163333333333,1.07676111111111
1.084,1.1004,1.1201,1.1016,0.76983,2015-10-21,0.12668031425654,0.87331968574346,1.00701823529412,1.07392352941176,1.07047222222222,1.07601666666667
1.0759,1.12,1.1091,1.0944,0.77188,2015-10-22,0.315892038222204,0.684107961777796,1.01853882352941,1.07501176470588,1.07211111111111,1.0765
1.0796,1.1286,1.1186,1.1011,0.74868,2015-10-23,0.397162202066309,0.602837797933691,1.01933882352941,1.07582352941176,1.07313888888889,1.07727222222222
1.0556,1.0789,1.0859,1.071,0.75316,2015-10-24,0.472981822972409,0.527018177027591,1.02739882352941,1.07496470588235,1.07282222222222,1.07601666666667
1.0881,1.1076,1.0487,1.0717,1.4605,2015-10-25,0.470780262828276,0.529219737171724,1.03493352941176,1.07205882352941,1.07102777777778,1.07281111111111
